"loan_amnt","term","int_rate","installment","grade","emp_length","home_ownership","annual_inc","verification_status","purpose","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","recoveries","collections_12_mths_ex_med","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","class"
16000," 60 months",12.12,356.89,"B","< 1 year","MORTGAGE",125000,"Verified","debt_consolidation",9.65,1,"Nov-2002",0,11,0,8772,38.8,31,0,0,0,0,368001,22600,0
8800," 36 months",15.99,309.34,"D","6 years","MORTGAGE",65000,"Verified","debt_consolidation",22.71,0,"Sep-2002",5,18,0,10239,19.4,36,0,0,0,0,181299,52900,0
13600," 36 months",18.24,493.32,"D","10+ years","MORTGAGE",73000,"Verified","debt_consolidation",17.36,0,"Sep-1997",3,17,1,8468,30.8,61,0,1,0,99,111961,27500,0
14325," 36 months",11.99,475.73,"B","< 1 year","RENT",32600,"Source Verified","debt_consolidation",25.07,0,"May-1998",0,12,0,17800,53,28,0,0,0,0,17800,33600,0
10000," 36 months",12.12,332.72,"B","7 years","RENT",45500,"Source Verified","credit_card",18.59,0,"Aug-2000",0,7,0,8729,68.2,9,0,0,0,0,23415,12800,0
12000," 60 months",17.86,303.81,"D","10+ years","OWN",60000,"Source Verified","home_improvement",14.4,0,"Jun-2004",0,9,0,1228,3.7,19,0,0,0,0,36572,32800,0
5600," 36 months",11.99,185.98,"B","10+ years","MORTGAGE",45000,"Verified","debt_consolidation",6.53,0,"Dec-1990",1,11,1,1881,20,31,0,0,0,0,5485,9400,0
9000," 36 months",7.9,281.62,"A","n/a","MORTGAGE",45000,"Source Verified","debt_consolidation",8.75,1,"Oct-1976",0,13,0,8312,51.3,31,0,0,0,0,275072,16200,0
4000," 36 months",12.99,134.76,"B","10+ years","RENT",48000,"Not Verified","other",16.35,0,"Mar-2000",1,11,1,4262,14,49,0,0,0,0,27925,30400,0
13375," 36 months",15.8,468.91,"C","4 years","MORTGAGE",75000,"Not Verified","debt_consolidation",12.03,0,"Apr-1993",2,8,0,10060,56.5,27,0,0,0,0,21477,17800,0
16000," 36 months",14.09,547.55,"B","10+ years","MORTGAGE",64000,"Verified","debt_consolidation",17.48,2,"Feb-1993",1,12,0,13582,26.5,38,0,0,0,0,250551,51300,0
20000," 36 months",13.11,674.94,"B","2 years","RENT",125000,"Source Verified","credit_card",18.28,0,"Nov-2000",1,16,0,28168,69.7,25,0,0,0,0,60259,40400,0
2750," 36 months",16.59,97.49,"D","n/a","OWN",17608.52,"Verified","debt_consolidation",16.91,0,"Dec-1998",2,6,1,3130,64,19,0,0,0,0,6592,4900,0
10000," 60 months",22.7,280.19,"E","2 years","MORTGAGE",63600,"Source Verified","credit_card",22.91,0,"May-2001",2,15,0,8312,86.6,28,0,0,0,0,58749,9600,0
10000," 60 months",19.47,262,"D","n/a","RENT",30000,"Verified","debt_consolidation",19.48,0,"Jul-2007",0,7,0,5536,55,9,0,0,0,553,13759,10064,0
29250," 60 months",25.89,873.86,"G","4 years","OWN",65000,"Verified","debt_consolidation",16.63,0,"Jun-1999",1,13,0,24517,81.7,23,0,0,0,0,55766,30000,0
10000," 36 months",14.49,344.17,"C","10+ years","MORTGAGE",57000,"Not Verified","debt_consolidation",25.45,0,"Jul-2004",1,13,0,8093,39.1,23,0,0,0,0,166742,20700,0
5375," 36 months",13.35,182.02,"C","1 year","RENT",32000,"Not Verified","debt_consolidation",8.89,0,"Jul-1998",2,5,0,2952,59,9,0,0,0,0,5956,5000,0
20000," 36 months",7.12,618.64,"A","9 years","MORTGAGE",54000,"Not Verified","debt_consolidation",16.69,0,"Sep-2001",2,15,0,5746,6.6,35,0,0,0,0,240403,86900,0
12000," 36 months",18.25,435.34,"D","3 years","RENT",43500,"Not Verified","debt_consolidation",26.81,0,"Oct-1999",2,9,0,11681,42,21,0,0,0,0,41917,27800,0
8000," 36 months",11.99,265.68,"B","7 years","RENT",90000,"Not Verified","debt_consolidation",8.08,0,"Jan-2001",0,10,0,14306,59.9,28,0,0,0,91,21866,23900,0
30000," 60 months",16.24,733.38,"C","10+ years","MORTGAGE",90400,"Verified","debt_consolidation",2.77,0,"Mar-2003",1,17,0,14923,34.7,34,0,0,0,0,172436,44100,0
15000," 36 months",18.25,544.17,"D","8 years","RENT",70000,"Source Verified","debt_consolidation",12.13,0,"Jun-2001",0,8,0,10275,92.6,25,0,0,0,0,19679,11100,0
11500," 36 months",16.29,405.96,"C","10+ years","MORTGAGE",83000,"Source Verified","debt_consolidation",16.45,0,"Oct-1998",1,9,0,14883,77.9,27,0,0,0,0,40055,19100,0
10000," 36 months",9.17,318.79,"B","1 year","RENT",50000,"Not Verified","debt_consolidation",12.66,2,"Mar-2003",0,10,0,4533,61.3,29,0,0,0,0,26272,7400,0
21000," 60 months",8.9,434.91,"A","8 years","MORTGAGE",85000,"Verified","debt_consolidation",10.35,0,"Feb-1992",0,12,0,24127,52.8,17,0,0,0,0,178977,95700,0
12500," 36 months",23.1,484.53,"E","8 years","MORTGAGE",42000,"Verified","debt_consolidation",16.03,1,"Apr-1997",1,9,1,13322,52.9,13,0,0,0,0,22273,25200,0
3000," 36 months",14.09,102.67,"B","10+ years","MORTGAGE",78000,"Not Verified","debt_consolidation",23.83,0,"Mar-2001",0,7,0,23461,82.3,21,0,0,0,0,31060,28500,0
10000," 60 months",18.92,258.97,"D","7 years","RENT",72000,"Source Verified","debt_consolidation",9.9,0,"Jul-2003",1,9,2,8002,56.4,17,0,0,0,0,16901,14200,0
35000," 36 months",9.67,1123.94,"B","6 years","MORTGAGE",1e+05,"Verified","debt_consolidation",16.6,0,"Feb-1997",0,9,0,37308,84.6,18,0,0,0,0,323174,44100,0
7000," 36 months",8.67,221.53,"B","7 years","OWN",34000,"Source Verified","debt_consolidation",28.59,0,"Jul-2005",1,11,0,5124,48.8,18,0,0,0,0,113268,10500,0
9500," 36 months",10.49,308.73,"B","8 years","RENT",28000,"Source Verified","debt_consolidation",25.12,0,"Dec-2006",1,11,0,4708,29.6,27,0,0,0,0,14498,15900,0
10000," 36 months",13.11,337.47,"B","3 years","RENT",51000,"Verified","debt_consolidation",31.46,0,"Feb-2007",0,12,0,6368,22.7,19,0,0,0,0,34409,28000,0
19200," 36 months",12.49,642.22,"B","10+ years","MORTGAGE",125000,"Not Verified","debt_consolidation",15.21,0,"Jun-1999",1,20,0,101313,20.1,27,0,0,0,0,438470,189300,0
5000," 36 months",6.99,154.37,"A","10+ years","MORTGAGE",126000,"Not Verified","credit_card",14.7,0,"Feb-2001",0,9,0,101659,94.2,36,0,0,0,0,391059,103000,0
13000," 36 months",12.12,432.54,"B","10+ years","MORTGAGE",90000,"Not Verified","debt_consolidation",11.6,0,"Dec-1997",2,5,0,6803,89.5,14,0,0,0,0,44650,7600,0
10000," 36 months",15.8,350.59,"C","7 years","RENT",43200,"Not Verified","credit_card",18.53,0,"Oct-1998",1,6,0,6773,59.4,22,0,0,0,0,15382,11400,0
5400," 36 months",8.18,169.67,"B","10+ years","MORTGAGE",69000,"Not Verified","debt_consolidation",27.5,0,"Aug-1998",0,11,0,22289,79.9,44,0,0,0,0,203122,27900,0
20000," 60 months",15.61,482.23,"D","6 years","RENT",104760,"Source Verified","credit_card",18.78,0,"Nov-2001",2,13,0,19943,53.8,41,0,0,0,183,124448,37100,0
15000," 36 months",15.61,524.48,"D","10+ years","MORTGAGE",76500,"Source Verified","debt_consolidation",18.29,3,"Nov-2001",2,14,0,8713,87.1,27,0,0,0,0,142884,10000,0
9000," 36 months",12.12,299.45,"B","10+ years","MORTGAGE",44100,"Not Verified","debt_consolidation",21.63,0,"Dec-1982",1,9,0,15862,80.1,20,0,0,0,0,77570,19800,0
10000," 36 months",8.9,317.54,"A","10+ years","MORTGAGE",1e+05,"Verified","credit_card",17.13,0,"May-1989",1,9,1,10376,78.6,33,0,0,0,0,261308,13200,0
30225," 36 months",14.64,1042.44,"C","10+ years","RENT",150000,"Verified","debt_consolidation",9.19,0,"Feb-1995",0,10,0,11018,64.4,19,0,0,0,0,25315,17100,0
10000," 60 months",22.4,278.47,"E","7 years","RENT",45000,"Source Verified","debt_consolidation",14.8,0,"Mar-2003",2,8,0,7963,77.3,12,0,0,0,0,26287,10300,0
16000," 36 months",6.62,491.26,"A","n/a","MORTGAGE",54804,"Verified","home_improvement",2.04,0,"May-1975",1,7,0,2750,3.7,15,0,0,0,0,235244,75300,0
13200," 36 months",14.33,453.27,"C","< 1 year","RENT",58000,"Source Verified","credit_card",16.12,0,"Oct-2004",1,6,0,7125,85.8,29,0,0,0,0,31793,8300,0
5000," 36 months",13.98,170.84,"C","6 years","MORTGAGE",56000,"Verified","home_improvement",19.82,1,"Mar-1997",2,7,0,14808,91,21,0,0,0,0,243815,16300,0
24000," 60 months",12.12,535.33,"B","7 years","RENT",70000,"Verified","debt_consolidation",30.14,0,"Mar-1997",0,19,0,13296,33.2,33,0,0,0,0,110072,40000,0
35000," 60 months",12.99,796.18,"C","< 1 year","MORTGAGE",90000,"Verified","credit_card",18.86,0,"Mar-1989",0,13,0,45627,61.2,25,0,0,0,0,348426,74500,0
20000," 36 months",11.14,656.11,"B","10+ years","MORTGAGE",81000,"Verified","debt_consolidation",12.39,1,"Feb-1991",1,20,0,14953,63.9,54,0,0,0,0,172446,23400,0
8325," 36 months",12.12,276.99,"B","1 year","RENT",25000,"Not Verified","debt_consolidation",15.6,1,"Dec-2000",0,12,0,7494,32.3,15,0,0,0,0,7494,23200,0
18000," 36 months",11.55,594,"B","4 years","RENT",43000,"Verified","major_purchase",27.14,0,"Sep-2001",1,8,0,3049,16.7,18,0,0,0,0,44954,18300,0
14000," 60 months",12.99,318.48,"B","n/a","MORTGAGE",106000,"Verified","debt_consolidation",9.86,0,"Sep-1988",1,7,0,30928,51.5,23,0,0,0,0,327093,60100,0
10000," 36 months",9.67,321.13,"B","4 years","MORTGAGE",65000,"Not Verified","credit_card",5.42,1,"Dec-2009",2,9,0,13917,58,9,0,0,0,0,179859,24300,0
1000," 36 months",12.69,33.55,"C","10+ years","MORTGAGE",76500,"Not Verified","medical",30.7,0,"Mar-2000",0,15,1,7624,64.6,19,0,0,0,0,305327,11800,0
18000," 60 months",19.05,467.43,"D","10+ years","MORTGAGE",40000,"Verified","debt_consolidation",17.94,0,"Apr-1983",0,12,0,38367,84.5,33,0,0,0,0,107983,45400,0
35000," 60 months",21.18,950.42,"E","10+ years","MORTGAGE",106000,"Verified","debt_consolidation",16.55,0,"Apr-1993",1,26,0,43083,91.5,63,0,0,0,0,532196,47100,0
17000," 36 months",11.14,557.69,"B","8 years","MORTGAGE",75000,"Not Verified","debt_consolidation",20.05,0,"May-1998",0,8,0,12855,91.2,21,0,0,0,0,34589,14100,0
6500," 36 months",14.33,223.2,"C","7 years","RENT",34000,"Not Verified","debt_consolidation",33.1,0,"Sep-2004",1,7,0,4063,90.3,20,0,0,0,0,48233,4500,0
3500," 36 months",13.66,119.05,"C","1 year","MORTGAGE",60000,"Not Verified","renewable_energy",22.06,0,"Apr-2001",1,8,5,6959,95.3,27,0,0,0,391,184389,7300,0
20000," 36 months",6.97,617.27,"A","7 years","MORTGAGE",87000,"Source Verified","debt_consolidation",13.26,0,"Feb-1989",0,12,0,27837,49.5,31,0,0,0,0,229962,56200,0
21000," 60 months",11.99,467.03,"B","5 years","MORTGAGE",75000,"Verified","credit_card",13.81,0,"Dec-1999",0,7,0,23232,75.2,27,0,0,0,0,171541,30900,0
24000," 60 months",19.97,635.46,"D","2 years","MORTGAGE",74500,"Verified","debt_consolidation",29.01,0,"Dec-2001",1,12,1,11691,80.6,42,0,0,0,0,218460,14500,0
5000," 36 months",9.67,160.57,"B","8 years","MORTGAGE",82000,"Not Verified","credit_card",9.48,0,"Nov-1997",1,5,0,3488,81.1,9,0,0,0,82,26720,4300,0
17875," 60 months",22.4,497.77,"E","10+ years","RENT",130000,"Verified","debt_consolidation",7.94,1,"Nov-1986",1,8,0,10042,52,31,0,0,0,0,42311,19300,0
18400," 60 months",13.66,424.9,"C","< 1 year","MORTGAGE",96000,"Source Verified","debt_consolidation",9.98,0,"Sep-2004",0,18,0,6998,20.1,36,0,0,0,0,285595,34800,0
6000," 36 months",11.14,196.84,"B","10+ years","MORTGAGE",75000,"Source Verified","moving",15.27,0,"Apr-1995",0,10,0,35321,83.1,39,0,0,0,0,189371,42500,0
6000," 36 months",13.33,203.12,"C","10+ years","RENT",37000,"Source Verified","debt_consolidation",27.77,0,"Feb-2001",1,13,0,3294,32,23,0,0,0,975,33907,10300,0
15000," 36 months",12.99,505.34,"B","10+ years","MORTGAGE",60000,"Source Verified","other",13.88,0,"Aug-1995",0,8,0,1499,7.6,25,0,0,0,0,146971,19700,0
16000," 60 months",15.8,387.4,"C","10+ years","MORTGAGE",56000,"Verified","debt_consolidation",11.38,0,"Jun-2006",1,7,0,10074,69.5,15,0,0,0,0,137192,14500,0
6000," 36 months",19.52,221.52,"D","5 years","RENT",45000,"Source Verified","debt_consolidation",5.96,0,"Jun-2006",5,14,0,5041,23.3,16,0,0,0,0,5041,21600,0
3000," 36 months",19.05,110.05,"D","10+ years","RENT",72000,"Verified","wedding",22.48,0,"Feb-1996",0,10,0,28455,92.8,17,0,0,0,0,33124,30600,0
25000," 36 months",12.69,838.63,"C","9 years","MORTGAGE",95000,"Source Verified","debt_consolidation",11.84,0,"Jan-2005",1,10,0,21967,61.9,17,0,0,0,0,153677,35500,0
10600," 36 months",8.18,333.05,"B","3 years","OWN",45000,"Not Verified","credit_card",19.25,4,"Dec-1998",1,14,0,11599,27.4,33,0,0,0,0,107453,42300,0
6000," 36 months",22.45,230.55,"E","7 years","RENT",1e+05,"Verified","debt_consolidation",19.04,0,"Aug-2002",1,12,0,25493,87.3,41,0,0,0,0,112069,29200,0
14000," 60 months",15.61,337.56,"D","2 years","RENT",41601.6,"Verified","debt_consolidation",20.83,0,"Oct-1997",2,17,0,11278,47,37,0,0,0,0,21309,24000,0
9600," 36 months",6.68,295.02,"A","10+ years","MORTGAGE",60000,"Verified","home_improvement",15.98,0,"Jan-1999",0,20,0,1615,3.4,34,0,0,0,0,94199,47200,0
7750," 36 months",12.49,259.23,"B","10+ years","RENT",72000,"Source Verified","credit_card",13.68,1,"Feb-1998",1,9,1,4419,22,31,0,0,0,0,16837,20100,0
21250," 60 months",15.8,514.51,"C","5 years","MORTGAGE",68000,"Verified","credit_card",29.34,0,"Dec-2002",0,12,0,33536,84.9,26,0,0,0,0,253009,39500,0
15000," 36 months",15.61,524.48,"D","7 years","MORTGAGE",71500,"Source Verified","debt_consolidation",11.75,0,"Oct-2003",0,9,0,5448,41.9,30,0,0,0,244,208203,13000,0
8500," 36 months",10.99,278.24,"B","10+ years","MORTGAGE",50000,"Not Verified","debt_consolidation",13.61,0,"Apr-1999",0,7,1,3945,20.9,23,0,0,0,0,193329,18900,0
13000," 60 months",12.69,293.74,"C","3 years","RENT",73000,"Source Verified","debt_consolidation",4.72,0,"Mar-1996",1,7,0,14369,73.3,17,0,0,0,0,14369,19600,0
35000," 36 months",11.99,1162.34,"B","5 years","MORTGAGE",169000,"Verified","debt_consolidation",14.27,0,"Jul-2000",0,12,0,44107,63.7,52,0,0,0,0,181229,69200,0
15000," 36 months",11.67,495.86,"B","n/a","RENT",61000,"Source Verified","debt_consolidation",21.15,0,"Feb-1972",0,9,0,12779,58.6,20,0,0,0,0,30220,21800,0
35000," 60 months",15.31,838.36,"C","7 years","MORTGAGE",120000,"Verified","credit_card",12.29,0,"Jul-1998",0,11,0,26914,54.8,26,0,0,0,0,330164,49100,0
16000," 36 months",7.89,500.58,"A","10+ years","MORTGAGE",61000,"Not Verified","debt_consolidation",12.77,1,"Sep-1986",0,13,0,26419,43.1,22,0,0,0,0,51173,61300,0
24000," 60 months",7.89,485.38,"A","< 1 year","MORTGAGE",180000,"Source Verified","other",3.35,0,"Aug-1989",1,12,0,10940,11.9,36,0,0,0,0,161144,91800,0
6400," 36 months",7.9,200.26,"A","2 years","RENT",24000,"Not Verified","debt_consolidation",16.65,0,"May-2004",0,7,0,12680,53.7,12,0,0,0,0,12680,23600,0
9750," 36 months",11.55,321.75,"B","< 1 year","RENT",30000,"Verified","debt_consolidation",24.44,0,"Jan-2005",0,11,0,15728,68.4,17,0,0,0,0,25410,23000,0
20975," 60 months",16.59,516.67,"D","10+ years","RENT",50000,"Verified","debt_consolidation",18.22,0,"Feb-1999",0,22,0,8011,28.7,48,0,0,0,0,77304,27900,0
5000," 36 months",10.16,161.72,"B","10+ years","MORTGAGE",71000,"Not Verified","debt_consolidation",13.22,1,"Dec-1996",0,13,0,18856,61.6,26,0,0,0,0,153841,30600,0
24000," 60 months",15.22,573.74,"C","10+ years","MORTGAGE",65000,"Verified","credit_card",24.06,0,"Nov-1998",1,9,1,6517,67.2,26,0,0,0,0,172500,9700,0
5000," 36 months",12.69,167.73,"C","8 years","RENT",40000,"Source Verified","other",2.05,0,"Jan-2002",0,3,0,1524,32.4,10,0,0,0,0,1524,4700,0
20000," 36 months",13.11,674.94,"B","10+ years","MORTGAGE",111400,"Not Verified","debt_consolidation",9.45,0,"Nov-1989",1,7,0,26610,73.9,22,0,0,0,0,26610,36000,0
2000," 36 months",11.53,65.99,"B","2 years","RENT",58000,"Not Verified","home_improvement",8.5,0,"Nov-1997",1,7,1,1883,28,9,0,0,0,0,6661,6700,0
14000," 36 months",13.11,472.46,"B","< 1 year","MORTGAGE",50000,"Not Verified","credit_card",17.45,1,"Apr-2000",0,17,0,17875,57.9,53,0,0,0,0,181309,30896,0
21600," 60 months",22.15,598.42,"E","6 years","MORTGAGE",54080,"Verified","debt_consolidation",14.14,0,"Jun-2002",1,7,0,5235,57.5,23,0,0,0,3842,32159,9100,0
8000," 36 months",8.9,254.03,"A","10+ years","MORTGAGE",60000,"Not Verified","debt_consolidation",7.12,0,"Feb-2000",0,5,0,6815,31.6,21,0,0,0,0,9164,21600,0
8400," 36 months",14.47,289.02,"C","5 years","OWN",64500,"Source Verified","debt_consolidation",32.02,0,"Mar-2002",1,18,0,34235,73.5,33,0,0,0,0,98124,46600,0
24000," 36 months",6.03,730.46,"A","2 years","OWN",180000,"Verified","debt_consolidation",15.12,0,"Feb-1983",0,11,0,34258,54.7,24,0,0,0,0,560364,62600,0
15000," 60 months",10.99,326.07,"B","7 years","RENT",51170,"Source Verified","debt_consolidation",24.95,0,"Feb-1998",0,11,0,12262,69.9,14,0,0,0,0,44103,17300,0
18550," 36 months",16.29,654.83,"C","5 years","RENT",42000,"Not Verified","debt_consolidation",20.03,0,"Mar-1994",0,11,0,13234,75.2,23,0,0,0,0,29578,17600,0
15000," 36 months",6.62,460.56,"A","10+ years","MORTGAGE",70000,"Not Verified","debt_consolidation",12.48,0,"Aug-2001",0,13,0,16332,29.9,20,0,0,0,0,201555,54599,0
8000," 36 months",12.99,269.52,"C","9 years","RENT",48000,"Not Verified","debt_consolidation",17.33,0,"Mar-1990",0,14,0,16306,70.6,25,0,0,0,325,17463,23100,0
20000," 36 months",13.53,679,"B","5 years","MORTGAGE",90000,"Source Verified","debt_consolidation",29.09,0,"Oct-1998",1,6,0,14404,93,20,0,0,0,0,200551,15500,0
35000," 60 months",17.57,880.61,"D","10+ years","MORTGAGE",90000,"Verified","debt_consolidation",23.64,0,"Oct-1999",2,11,0,17932,53.4,25,0,0,0,0,221048,33600,0
18000," 36 months",14.49,619.49,"C","10+ years","MORTGAGE",86000,"Not Verified","debt_consolidation",21.67,0,"Jan-1990",1,10,0,19119,79,30,0,0,0,0,367615,24200,0
15000," 60 months",9.67,316.28,"B","10+ years","MORTGAGE",1e+05,"Source Verified","home_improvement",18.43,0,"Oct-1994",1,12,0,13209,24.6,36,0,0,0,0,184581,53700,0
5000," 36 months",16.78,177.72,"C","7 years","MORTGAGE",52000,"Verified","debt_consolidation",12.09,0,"Jun-2000",2,4,0,2505,100.2,22,0,0,0,0,248490,2500,0
6000," 36 months",9.99,193.58,"B","1 year","RENT",60000,"Not Verified","moving",16.32,0,"Jan-2003",0,13,1,9027,32.6,23,0,0,0,0,18084,27700,0
13000," 36 months",13.11,438.72,"B","10+ years","MORTGAGE",98000,"Not Verified","debt_consolidation",14.33,0,"Sep-1993",2,15,0,28312,47.6,51,0,0,0,0,222085,59500,0
20000," 36 months",7.9,625.81,"A","10+ years","RENT",55000,"Not Verified","credit_card",5.06,0,"Feb-2001",0,5,0,9926,62.8,7,0,0,0,0,9926,15800,0
16000," 36 months",7.62,498.59,"A","< 1 year","MORTGAGE",154000,"Verified","debt_consolidation",24.92,0,"Sep-1998",0,15,0,25305,38.4,37,0,0,0,0,432357,65900,0
12000," 36 months",8.19,377.09,"A","< 1 year","RENT",90000,"Not Verified","home_improvement",10.73,0,"Aug-2006",0,12,0,36666,37.9,26,0,0,0,0,344999,96700,0
18400," 36 months",12.99,619.89,"C","10+ years","MORTGAGE",239000,"Source Verified","other",1.72,0,"Jun-2002",1,7,4,12858,41.5,13,0,0,0,0,80684,31000,0
18000," 60 months",15.88,436.58,"C","6 years","RENT",59000,"Source Verified","debt_consolidation",16.9,0,"Jul-2002",0,9,0,14165,64.7,22,0,0,0,0,38364,21900,0
9000," 60 months",17.57,226.45,"D","10+ years","RENT",62000,"Verified","debt_consolidation",17.19,0,"Nov-1988",2,13,0,10675,27.7,28,0,0,0,0,199402,38500,0
9500," 36 months",6.03,289.14,"A","7 years","RENT",60000,"Not Verified","credit_card",6.22,0,"Oct-2007",0,12,0,10266,49.8,19,0,0,0,0,96409,20600,0
8500," 36 months",14.16,291.18,"C","10+ years","MORTGAGE",97000,"Verified","debt_consolidation",17.88,0,"Aug-1989",0,10,0,89559,89,29,0,0,0,0,322360,101124,0
8975," 36 months",10.16,290.28,"B","3 years","MORTGAGE",67000,"Verified","debt_consolidation",28.87,2,"Jan-1992",0,17,0,31805,36.1,32,0,0,0,0,281367,88000,0
12000," 36 months",6.03,365.23,"A","10+ years","MORTGAGE",45000,"Not Verified","home_improvement",10.8,0,"Jul-1996",0,13,0,3403,6.5,26,0,0,0,0,80777,52100,0
8000," 36 months",18.85,292.65,"D","< 1 year","OWN",52000,"Verified","debt_consolidation",11.84,0,"May-1989",2,4,1,2450,48,9,0,0,0,172,17725,5100,0
6000," 36 months",18.49,218.4,"D","8 years","MORTGAGE",53000,"Not Verified","major_purchase",17.07,0,"Sep-2005",2,10,1,6411,55.7,18,0,0,0,0,255489,11500,0
35000," 60 months",13.98,814.03,"C","10+ years","MORTGAGE",174196,"Verified","debt_consolidation",26.72,0,"Jun-1969",0,20,0,35794,53.1,45,0,0,0,0,497792,67400,0
8750," 36 months",20.49,327.38,"E","7 years","MORTGAGE",34071,"Verified","debt_consolidation",31.1,0,"May-2008",0,11,0,7207,41.7,18,0,0,0,0,136816,17300,0
5200," 36 months",8.9,165.12,"A","9 years","RENT",42000,"Source Verified","credit_card",23.46,0,"Sep-1997",0,8,1,9399,77,31,0,0,0,0,34878,12200,0
32500," 36 months",13.65,1105.26,"C","10+ years","MORTGAGE",1e+05,"Verified","credit_card",28.62,0,"Jun-1992",2,19,0,70866,89.6,58,0,0,0,0,174456,79100,0
5000," 36 months",14.99,173.31,"C","4 years","RENT",126000,"Verified","debt_consolidation",17.39,0,"Aug-2002",2,10,0,24752,75.9,18,0,0,0,0,59648,32600,0
7000," 36 months",21.49,265.49,"E","5 years","RENT",25000,"Not Verified","other",9.26,0,"Apr-2003",2,5,0,4436,59.1,13,0,0,0,0,50743,7500,0
10000," 36 months",6.03,304.36,"A","n/a","MORTGAGE",50000,"Verified","major_purchase",20.45,0,"May-1985",2,10,0,6536,14.1,20,0,0,0,0,265099,46500,0
8500," 36 months",10.99,278.24,"B","10+ years","MORTGAGE",46000,"Not Verified","credit_card",23.06,1,"Nov-1994",1,19,0,12033,50.1,48,0,0,0,0,154876,24000,0
8500," 36 months",6.03,258.71,"A","5 years","MORTGAGE",41283,"Not Verified","debt_consolidation",14.68,0,"Feb-1989",0,8,0,8588,10.2,21,0,0,0,0,107296,84500,0
10000," 36 months",11.67,330.57,"B","10+ years","MORTGAGE",49500,"Not Verified","debt_consolidation",12.56,0,"Mar-2006",1,11,0,5710,35,15,0,0,0,837,136750,16300,0
9600," 36 months",9.99,309.72,"B","10+ years","RENT",91657,"Verified","other",24.3,0,"Aug-2002",0,12,0,2996,53.5,21,0,0,0,293,50884,5600,0
14400," 36 months",12.99,485.13,"C","10+ years","MORTGAGE",110000,"Source Verified","debt_consolidation",5.05,0,"Dec-2004",0,10,2,10051,51.5,17,0,0,0,0,16869,19500,0
10000," 36 months",12.12,332.72,"B","2 years","RENT",52000,"Verified","credit_card",15.48,0,"Jul-2001",0,15,0,15924,51,32,0,0,0,0,16021,31200,0
25000," 36 months",14.09,855.54,"B","10+ years","MORTGAGE",225000,"Verified","credit_card",19.97,0,"May-1989",2,18,0,31579,79.7,35,0,0,0,0,1348823,39600,0
9500," 36 months",7.26,294.47,"A","7 years","MORTGAGE",60000,"Not Verified","debt_consolidation",12.96,0,"Mar-2005",0,11,0,9335,27.5,17,0,0,0,0,224524,34000,0
19000," 36 months",12.35,634.26,"B","10+ years","MORTGAGE",65840,"Verified","credit_card",33.08,1,"Sep-2003",1,22,0,20264,65.1,43,0,0,0,0,211837,31131,0
2675," 36 months",17.57,96.14,"D","10+ years","RENT",160000,"Not Verified","debt_consolidation",5.46,0,"Mar-1999",1,7,3,702,18.5,28,0,0,0,0,22197,3800,0
15000," 36 months",10.99,491.01,"B","10+ years","RENT",47000,"Not Verified","debt_consolidation",25.89,0,"May-2003",0,18,0,23395,45.5,32,0,0,0,0,36360,51400,0
32000," 60 months",19.05,830.98,"D","5 years","RENT",110000,"Verified","debt_consolidation",11.84,0,"Sep-1996",0,14,0,16996,77.6,18,0,0,0,0,58320,21900,0
15000," 36 months",7.9,469.36,"A","7 years","MORTGAGE",70000,"Not Verified","debt_consolidation",10.08,0,"Jul-2001",0,14,0,22589,24.6,24,0,0,0,0,132329,91900,0
10000," 36 months",8.39,315.17,"A","2 years","MORTGAGE",59000,"Source Verified","credit_card",5.21,0,"Sep-2003",1,10,0,10903,46.2,16,0,0,0,908,153767,23600,0
13300," 36 months",17.57,477.97,"D","7 years","MORTGAGE",117000,"Not Verified","debt_consolidation",9.38,1,"Oct-1999",3,5,1,11957,59.5,20,0,0,0,0,184530,20100,0
2500," 36 months",17.27,89.47,"C","2 years","RENT",28000,"Verified","home_improvement",17.79,0,"Sep-1996",1,8,0,2462,43.2,12,0,0,0,62,14561,5700,0
33000," 60 months",20.2,877.98,"E","10+ years","MORTGAGE",115000,"Verified","debt_consolidation",23.4,1,"Jan-1988",2,26,0,36427,63.4,61,0,0,0,0,252960,57500,0
29950," 36 months",13.66,1018.69,"C","1 year","OWN",60000,"Verified","credit_card",9.96,0,"Aug-1990",0,4,0,98875,91.3,7,0,0,0,0,98875,98000,0
15000," 36 months",17.77,540.56,"D","10+ years","RENT",45000,"Not Verified","debt_consolidation",25.48,0,"Jan-1995",0,15,0,24227,68.6,32,0,0,0,0,56094,35300,0
8000," 36 months",11.67,264.46,"B","10+ years","RENT",35000,"Source Verified","debt_consolidation",20.64,0,"Aug-2004",4,5,0,2506,18.2,20,0,0,0,0,24969,13800,0
7000," 36 months",14.09,239.55,"B","10+ years","MORTGAGE",95000,"Not Verified","debt_consolidation",2.41,0,"Jul-1996",1,9,0,6584,66.5,23,0,0,0,0,274526,9900,0
12000," 36 months",8.9,381.04,"A","< 1 year","MORTGAGE",55000,"Source Verified","other",25.46,0,"Oct-1994",0,15,0,34419,46.4,39,0,0,0,0,219954,74100,0
